,blockPlayer,totalRushPlayers,totalPlays,totalWinsAllowed,totalHitsAllowed,totalHurriesAllowed,totalSacksAllowed,averageNumRusher,average_epa,displayName,team,officialPosition,height,weight,HandSize,ArmLength,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone,defWin,defHit,defHurry,defSack,playCount,epa,actualSCRT,average_distance,average_gos,max_speed,max_accel,predictedSCRT,delta
103,52486,170.5,273,17,0,12,1,0.589965398,0.257315638,Matt Hennessy,ATL,C,76,290,10,32.25,5.18,23,30,110,4.6,7.45,17,0,12,1,289,24.5011777,-0.023901099,5.120783625,4.495856338,9.9899778,14.56196764,-0.017521242,-0.006379857
138,47806,158,232,15,1,16,1,0.629482072,0.275729265,Tytus Howard,HOU,T,77,322,10.63,34,5.05,21,29.5,103,4.87,8.34,15,1,16,1,251,-7.707558207,-0.028857759,5.163822548,3.635033574,7.72198284,11.32197484,-0.022376137,-0.006481622
112,43484,113.5,166,8,2,8,1,0.616847826,0.269975984,Wes Schweitzer,WAS,G,77,314,10.5,32.625,5.15,28,27.5,108,4.73,7.8,8,2,8,1,184,-9.766101855,-0.025301205,5.041350741,4.139267547,9.95397788,9.07197984,-0.018459896,-0.006841309
156,40124,231,269,15,6,10,4,0.836956522,0.284962365,David Quessenberry,TEN,G,77,310,10.63,34.38,5.08,25,29.5,112,4.45,7.49,15,6,10,4,276,32.25916251,-0.032434944,5.090955598,4.62703104,9.6299786,13.96796896,-0.025230403,-0.007204541
72,46180,145,225,9,1,8,3,0.582329317,0.257315638,Brian Allen,LA,C,74,302,9.25,32.38,5.34,27,26.5,99,4.71,7.81,9,1,8,3,249,99.77726765,-0.020022222,5.798504151,4.222239421,7.14598412,8.67598072,-0.011781281,-0.008240941
167,52426,216,278,16,5,29,1,0.744827586,0.257315638,Austin Jackson,MIA,T,78,310,10.25,34.13,5.07,27,31,115,0,7.95,16,5,29,1,290,11.69444912,-0.035377698,4.908076109,4.279038786,12.49197224,8.49598112,-0.026706616,-0.008671082
67,52432,132,188,7,1,8,2,0.650246305,0.270168438,Cesar Ruiz,NO,G,75,319,11,33.13,5.08,28,33,113,4.64,7.91,7,1,8,2,203,35.54923304,-0.019654255,6.922693036,3.72926847,9.52197884,7.25398388,-0.010844485,-0.00880977
149,33107,192,222,9,5,9,6,0.824034335,0.278329396,Duane Brown,SEA,T,76,315,10,34.25,5.09,24,27.5,105,4.52,7.58,9,5,9,6,233,40.04306983,-0.030630631,5.596035099,5.19784418,9.48597892,12.90597132,-0.02174736,-0.008883271
93,46075,103.5,148,7,2,3,1,0.676470588,0.269975984,Quenton Nelson,IND,G,77,330,10.38,33.75,0,35,26.5,105,4.62,7.65,7,2,3,1,153,6.951782762,-0.023108108,5.710397734,3.175260324,9.01797996,11.55597432,-0.014151779,-0.008956329
154,47995,117,168,11,3,5,2,0.664772727,0.278167749,Dennis Daley,CAR,G,78,324,9.5,33.38,5.23,20,26.5,103,4.92,7.95,11,3,5,2,176,-0.820340851,-0.032321429,5.144081707,3.505506156,10.6199764,11.28597492,-0.022864871,-0.009456558
169,37090,227,271,18,6,17,3,0.813620072,0.278167749,Nate Solder,NYG,T,80,325,9.88,35.5,4.96,21,32,110,4.34,7.44,18,6,17,3,279,24.14300765,-0.037287823,5.277429697,4.577189242,11.84397368,8.98198004,-0.02755387,-0.009733953
148,52483,229,311,15,7,18,2,0.698170732,0.275729265,Jonah Jackson,DET,G,76,305,10.5,33.5,5.23,28,26,98,5.02,7.83,15,7,18,2,328,-35.20736261,-0.030498392,5.157111897,3.636390846,8.98198004,11.30397488,-0.020630796,-0.009867596
134,47865,170.5,248,9,4,19,4,0.645833333,0.269975984,Nate Davis,TEN,G,75,316,9.5,33.13,5.23,23,26,107,4.83,7.94,9,4,19,4,264,39.28206257,-0.028024194,5.038572964,3.637167859,9.8099782,9.95397788,-0.017750113,-0.010274081
116,53655,231.5,314,15,3,15,4,0.682890855,0.257315638,Trey Smith,KC,G,78,325,10,33.75,5.11,32,31,112,4.82,7.43,15,3,15,4,339,68.64830891,-0.025477707,5.984444485,3.015949457,11.71797396,15.28196604,-0.015169509,-0.010308198
122,52517,169,245,12,3,15,1,0.640151515,0.269975984,John Simpson,LV,G,76,330,11.25,34.13,5.24,34,30,107,4.87,8.03,12,3,15,1,264,59.79385515,-0.026469388,5.004683729,3.433789466,9.79197824,14.23796836,-0.015817987,-0.010651401
75,46103,200.5,285,12,1,12,3,0.670568562,0.275729265,Will Hernandez,NYG,G,74,327,9.88,32,5.15,37,24,104,4.7,7.59,12,1,12,3,299,18.89360074,-0.020350877,5.349421614,3.891622547,11.95197344,11.8799736,-0.009480377,-0.0108705
172,39947,181,204,12,6,11,5,0.866028708,0.269975984,Eric Fisher,IND,T,79,315,10.5,34.48,5.05,27,28.5,116,4.44,7.59,12,6,11,5,209,27.31418199,-0.039730392,5.225496964,4.718007435,10.83597592,11.71797396,-0.028830247,-0.010900145
139,52666,102,141,6,4,7,0,0.658064516,0.278167749,Calvin Throckmorton,NO,T,77,318,9.5,32.5,5.57,23,27,97,4.98,8.07,6,4,7,0,155,19.12504356,-0.029042553,6.851016741,3.737499026,8.29798156,10.56597652,-0.016904077,-0.012138476
168,42362,183.5,206,14,4,16,1,0.849537037,0.275729265,Cameron Erving,CAR,T,77,313,10.38,34.13,5.15,30,30.5,112,4.63,7.48,14,4,16,1,216,29.95036967,-0.03684466,4.99706581,4.506902863,9.1799796,9.7199784,-0.024451927,-0.012392733
160,47838,148.5,216,10,6,13,2,0.645652174,0.446325353,Max Scharping,HOU,G,78,325,10,33.625,0,27,28,108,4.69,7.77,10,6,13,2,230,3.71866614,-0.032800926,5.048591634,3.871592187,9.28797936,12.40197244,-0.01974911,-0.013051816
153,42477,135,185,5,7,12,2,0.692307692,0.278329396,Mark Glowinski,IND,G,76,310,9.75,33.13,5.2,31,29.5,113,4.58,7.56,5,7,12,2,195,28.35483678,-0.031702703,4.797648657,4.182312637,8.7299806,11.14197524,-0.018492393,-0.01321031
144,52466,157.5,233,13,3,15,2,0.62007874,0.278167749,Ezra Cleveland,MIN,G,78,310,9,33.38,4.93,30,30,111,4.46,7.26,13,3,15,2,254,47.39419065,-0.03,5.358096321,3.247495478,10.47597672,12.54597212,-0.016056224,-0.013943776
171,53497,180.5,265,11,12,12,5,0.631118881,0.278329396,Jalen Mayfield,ATL,G,77,320,9.75,32.625,5.39,0,28.5,96,4.91,7.86,11,12,12,5,286,24.19866496,-0.038849057,4.967610117,3.982793646,9.43197904,11.48397448,-0.024606847,-0.01424221
183,46134,87.5,101,7,4,10,1,0.841346154,0.278329396,Brandon Parker,LV,T,80,320,9.75,35,5.37,21,28.5,113,4.68,7.82,7,4,10,1,104,31.75011062,-0.048366337,4.580999425,4.813360883,8.67598072,9.41397908,-0.033578543,-0.014787794
182,48455,276,318,33,4,30,3,0.841463415,0.275729265,Matt Nelson,DET,T,79,299,9.38,34.875,5.15,15,30.5,111,4.61,7.45,33,4,30,3,328,-35.20736261,-0.047531447,4.907470853,5.111528731,9.57597872,13.08597092,-0.032568783,-0.014962664
140,45056,106,175,10,2,9,2,0.538071066,0.269975984,Kyle Fuller,SEA,G,77,320,9.38,32.88,5.24,23,26,96,4.84,7.71,10,2,9,2,197,35.44888369,-0.029171429,5.538397525,4.487612405,10.349977,11.7899738,-0.013958264,-0.015213165
125,47801,140.5,226,6,7,11,2,0.553149606,0.275729265,Garrett Bradbury,MIN,C,75,305,10.5,31.75,4.92,34,31,104,4.53,7.41,6,7,11,2,254,47.39419065,-0.026880531,5.146128139,4.110869413,8.62198084,9.52197884,-0.009977087,-0.016903444
175,53522,86,96,10,1,7,0,0.86,0.269975984,Spencer Brown,BUF,T,81,321,10.375,34.75,4.94,29,31.5,117,4.4,6.96,10,1,7,0,100,34.16463886,-0.042864583,6.036587284,4.4349075,12.9599712,12.27597272,-0.024515399,-0.018349184
173,42356,84,116,9,2,8,3,0.661417323,0.275729265,Andrus Peat,NO,G,79,316,10.63,34.38,5.18,0,31,105,4.62,8.01,9,2,8,3,127,20.33185905,-0.042284483,7.362152453,3.440060358,8.67598072,7.57798316,-0.02361389,-0.018670593
170,47821,87,113,5,3,14,1,0.707317073,0.269975984,Cody Ford,BUF,G,75,329,9.75,34,5.21,19,28.5,104,4.87,8.27,5,3,14,1,123,17.76292377,-0.037654867,5.823433682,3.336766057,10.31397708,7.77598272,-0.018874229,-0.018780638
185,52603,148.5,170,21,3,12,1,0.848571429,0.278167749,Justin Herron,NE,T,77,290,8.88,33.5,5.26,27,33,105,4.88,8.41,21,3,12,1,175,-1.781981747,-0.052617647,5.454761078,4.558042945,9.7199784,10.22397728,-0.032548652,-0.020068995
181,53471,235,270,27,2,22,6,0.833333333,0.275729265,Liam Eichenberg,MIA,T,78,308,9.625,32.375,0,33,26.5,105,4.57,7.53,27,2,22,6,282,24.09391611,-0.045648148,5.203618183,4.976652902,8.83798036,19.74595612,-0.025322347,-0.020325801
186,53557,206,228,25,6,15,3,0.895652174,0.257315638,Dan Moore,PIT,T,77,315,10.25,34.5,5.21,28,30.5,110,4.73,7.56,25,6,15,3,230,12.08046735,-0.052850877,4.267544241,5.126933823,9.43197904,8.3699814,-0.028840356,-0.024010521
184,48485,108,124,15,1,7,2,0.870967742,0.257315638,Blake Hance,CLE,G,77,310,10.13,32.125,5.29,27,27,107,4.69,7.65,15,1,7,2,124,-10.00463919,-0.048709677,5.9103241,4.790806802,9.30597932,9.93597792,-0.024648641,-0.024061036
188,53446,202.5,235,31,8,14,4,0.833333333,0.257315638,Alex Leatherwood,LV,T,77,305,9.5,33.875,5.01,0,34.5,118,4.65,7.45,31,8,14,4,243,42.53496002,-0.062914894,4.824925075,4.349116932,9.37797916,9.66597852,-0.031470291,-0.031444603
1,41532,97,118,0,0,4,1,0.76984127,0.278167749,James Hurst,NO,T,77,310,10.13,33.75,5.59,20,22,0,4.73,0,0,0,4,1,126,39.04902207,-0.004915254,6.985091695,4.061192274,8.58598092,10.24197724,,
14,53491,62.5,102,2,0,5,0,0.543478261,0.275729265,Josh Myers,GB,C,77,312,10.375,32,0,29,0,119,0,0,2,0,5,0,115,14.87919589,-0.010637255,5.72385716,4.669139822,10.69197624,7.70398288,,
23,41939,166.5,231,8,1,2,0,0.635496183,0.278167749,Andrew Norwell,JAX,G,78,325,0,0,0,0,0,0,0,0,8,1,2,0,262,-6.047637624,-0.013116883,5.731290462,3.692671498,9.91797796,11.48397448,,
26,47906,141,194,5,1,5,1,0.687804878,0.269975984,Ben Powers,BAL,G,76,310,9.88,33.75,0,21,29,97,4.83,0,5,1,5,1,205,23.92669484,-0.013402062,5.8369088,3.225060007,9.21597952,11.4299746,,
27,42352,207.5,279,4,3,10,2,0.701013514,0.275729265,Ereck Flowers,WAS,G,78,329,9.88,34.5,5.31,37,27,101,0,0,4,3,10,2,296,1.646556511,-0.013512545,5.383729079,3.971384287,9.46797896,8.89198024,,
30,42954,67.5,110,4,0,2,1,0.581896552,0.269975984,Greg Mancz,MIA,C,76,310,10,32.75,5.08,0,0,0,0,0,4,0,2,1,116,11.90303026,-0.014636364,5.513790694,4.170073022,9.21597952,7.0199844,,
31,41665,63.5,94,3,0,5,0,0.628712871,0.257315638,Tyler Shatley,JAX,G,75,310,0,0,0,0,0,0,0,0,3,0,5,0,101,-4.741035058,-0.014787234,5.635992259,4.311147444,8.53198104,7.86598252,,
37,52543,147,209,5,2,6,2,0.641921397,0.284962365,Kevin Dotson,PIT,G,76,321,0,0,0,0,0,0,0,0,5,2,6,2,229,4.59750024,-0.01576555,5.063249805,3.905015246,8.56798096,8.53198104,,
40,52553,109,145,1,3,9,0,0.721854305,0.278329396,Jack Driscoll,PHI,T,77,296,9.88,33,5.02,23,29.5,114,0,0,1,3,9,0,151,12.0803705,-0.016275862,5.021843332,4.435147844,8.47798116,7.39798356,,
44,46131,219,251,11,1,4,0,0.862204724,0.275729265,Brian O'Neill,MIN,T,79,297,0,0,0,0,0,0,0,0,11,1,4,0,254,47.39419065,-0.016474104,5.310275793,4.641473696,10.63797636,10.799976,,
48,44068,80,124,4,1,5,0,0.575539568,-0.135906383,Lucas Patrick,GB,G,75,313,0,0,0,0,0,0,0,0,4,1,5,0,139,10.46643225,-0.016895161,5.901471221,4.291766133,11.8799736,9.23397948,,
49,52447,200.5,286,8,2,16,1,0.648867314,0.275729265,Robert Hunt,MIA,G,77,322,10.75,33.5,0,0,0,0,0,0,8,2,16,1,309,11.66340729,-0.017342657,5.399796503,3.951449614,10.00797776,12.599972,,
52,46090,165,245,6,4,7,1,0.637065637,0.278329396,Billy Price,NYG,C,76,312,9.75,32,0,0,0,0,0,0,6,4,7,1,259,15.27929088,-0.017530612,5.562355355,3.887618598,9.32397928,9.05397988,,
54,52491,169.5,274,5,5,8,3,0.580479452,0.364544165,Lloyd Cushenberry,DEN,C,76,315,10.38,34.13,5.27,25,0,0,0,0,5,5,8,3,292,51.75454788,-0.017828467,5.023183851,4.062880137,10.49397668,10.5299766,,
57,44972,118.5,159,7,1,4,0,0.705357143,0.278329396,Jermaine Eluemunor,LV,G,76,335,0,0,0,0,0,0,0,0,7,1,4,0,168,48.54798273,-0.018333333,5.379669614,3.460463089,8.6399808,10.40397688,,
76,52524,83.5,117,3,2,5,1,0.65234375,0.284962365,Ben Bartch,JAX,T,78,305,9,32.88,0,0,0,0,0,0,3,2,5,1,128,-19.40898691,-0.02042735,5.472992722,4.0868091,8.8199804,11.57397428,,
86,41563,93.5,109,4,2,4,0,0.834821429,0.257315638,Cornelius Lucas,WAS,T,80,328,10,36.75,0,0,0,0,0,0,4,2,4,0,112,-20.06795503,-0.022018349,4.993201361,5.087642257,9.12597972,7.50598332,,
88,43586,187,221,11,2,8,0,0.782426778,0.278167749,George Fant,NYJ,T,77,322,0,0,0,0,0,0,0,0,11,2,8,0,239,-31.23757016,-0.022239819,6.131397565,5.126506983,11.62797416,12.45597232,,
90,48220,155,185,9,1,7,2,0.782828283,0.257315638,Patrick Mekari,BAL,G,76,308,0,0,0,0,0,0,0,0,9,1,7,2,198,47.11271377,-0.022756757,5.923517945,4.182523508,10.58397648,11.68197404,,
91,42410,75,104,3,1,9,1,0.688073394,0.278167749,A.J. Cann,JAX,G,75,325,10.25,32.63,5.18,26,32.5,109,0,0,3,1,9,1,109,-1.019216236,-0.022788462,4.893547898,3.960218472,8.94598012,7.99198224,,
92,52554,159,240,10,3,13,0,0.609195402,0.257315638,Tyler Biadasz,DAL,C,75,320,10,32.25,0,0,0,0,0,0,10,3,13,0,261,67.15938156,-0.022854167,5.47358878,4.265235277,10.76397608,10.9799756,,
97,46143,116,132,8,0,7,0,0.84057971,0.275729265,Geron Christian,HOU,T,78,315,10.75,35,5.33,19,0,0,0,0,8,0,7,0,138,-25.25869313,-0.023522727,5.260902023,4.918269703,9.10797976,12.74397168,,
98,43302,106,119,5,2,5,0,0.868852459,0.275729265,Laremy Tunsil,HOU,T,77,313,10,34.25,0,34,28.5,111,0,0,5,2,5,0,122,20.76958053,-0.023529412,5.046718267,4.843692664,8.80198044,10.5299766,,
102,52504,206.5,224,7,2,21,2,0.893939394,0.278329396,Lucas Niang,KC,T,79,328,10.5,34.25,0,0,0,0,0,0,7,2,21,2,231,60.19213811,-0.023794643,5.281019079,4.989658333,9.03597992,12.40197244,,
104,46078,188,214,8,3,12,2,0.858447489,0.270168438,Mike McGlinchey,SF,T,80,315,10,34,0,24,28.5,105,0,0,8,3,12,2,219,43.77259907,-0.024205607,5.54407151,4.778993203,9.75597832,8.13598192,,
105,39684,182.5,254,10,2,18,3,0.673431734,0.257315638,Greg Van Roten,NYJ,G,75,305,0,0,0,0,0,0,0,0,10,2,18,3,271,-18.88874774,-0.024251969,5.479006407,3.969787829,10.74597612,12.27597272,,
107,41619,157,235,12,2,8,3,0.615686275,0.275729265,Trey Hopkins,CIN,C,75,316,0,0,0,0,0,0,0,0,12,2,8,3,255,59.49747547,-0.024765957,4.97590029,3.853740541,10.06197764,6.22798616,,
109,43320,104.5,126,8,0,3,2,0.810077519,0.257315638,Germain Ifedi,CHI,T,77,325,10.75,36,5.27,24,32.5,109,4.75,0,8,0,3,2,129,-11.48939937,-0.024801587,5.059715372,4.883032473,8.65798076,9.59397868,,
111,44844,168,194,6,2,17,3,0.827586207,0.275729265,Ryan Ramczyk,NO,T,78,314,10.88,33.75,0,25,0,0,4.82,0,6,2,17,3,203,35.54923304,-0.024974227,6.461470946,4.954926293,8.58598092,10.94397568,,
113,52480,160.5,216,9,1,14,5,0.703947368,0.269975984,Josh Jones,ARI,G,79,310,10.13,33.88,5.27,24,28.5,109,0,0,9,1,14,5,228,72.28597003,-0.025347222,5.632969213,3.581709659,11.08797536,8.9099802,,
118,52551,64.5,93,5,0,7,1,0.651515152,0.278329396,Ben Bredeson,NYG,G,76,325,10.13,31.13,0,0,0,0,0,0,5,0,7,1,99,9.284988826,-0.025698925,4.379630708,3.666520778,7.36198364,9.70197844,,
119,52590,166.5,219,11,4,5,1,0.717672414,0.270168438,Michael Onwenu,NE,G,75,350,0,0,0,0,0,0,0,0,11,4,5,1,232,1.654326489,-0.025707763,5.349364636,4.105433461,11.26797496,11.30397488,,
127,41630,57.5,92,4,2,3,1,0.592783505,0.257315638,Justin McCray,HOU,C,75,317,0,0,0,0,0,0,0,0,4,2,3,1,97,-20.01440105,-0.027228261,5.166503357,4.04809316,9.37797916,7.52398328,,
129,47818,222.5,255,15,2,15,1,0.84280303,0.275729265,Jawaan Taylor,JAX,T,77,312,10,35.5,0,24,0,0,0,0,15,2,15,1,264,-7.654803396,-0.02745098,4.681644288,4.838433304,8.96398008,12.94197124,,
132,42765,116.5,161,7,3,10,1,0.693452381,0.284962365,Chris Reed,IND,G,76,320,0,0,0,0,0,0,0,0,7,3,10,1,168,33.96034469,-0.027857143,5.343711853,3.368500952,11.30397488,7.81198264,,
135,53466,144,202,7,5,14,1,0.672897196,0.269975984,Landon Dickerson,PHI,G,78,325,10.375,33.25,0,0,0,106,0,0,7,5,14,1,214,11.32602388,-0.028044554,5.326969204,3.739489751,12.90597132,12.09597312,,
141,52938,171.5,200,13,3,8,0,0.824519231,0.088942085,Terence Steele,DAL,T,78,310,9.5,35.13,5.03,27,27.5,106,5.08,0,13,3,8,0,208,53.6749797,-0.029625,5.158256336,4.913823072,10.7099762,14.68796736,,
142,42471,154,212,12,4,11,0,0.672489083,0.257315638,Jon Feliciano,BUF,G,76,323,9.75,32.38,5.33,23,26.5,97,4.74,0,12,4,11,0,229,60.0162981,-0.029740566,5.364006155,3.192794267,11.59197424,10.60197644,,
143,46092,205.5,235,12,5,8,3,0.867088608,0.269975984,Isaiah Wynn,NE,T,74,310,8.5,33.38,0,0,0,0,0,0,12,5,8,3,237,3.755276373,-0.02987234,5.107840753,4.603661098,9.25197944,13.33797036,,
152,47827,108.5,124,6,3,5,2,0.815789474,0.275729265,Elgton Jenkins,GB,G,77,310,0,0,0,0,0,0,0,0,6,3,5,2,133,20.98604144,-0.031491935,5.487414561,4.565352124,9.449979,9.75597832,,
155,52477,118.5,174,10,5,4,1,0.630319149,0.718501509,Damien Lewis,SEA,G,75,332,10.25,33,5.24,27,30,108,0,0,10,5,4,1,188,46.52436478,-0.032356322,5.669563596,4.015384197,10.47597672,9.91797796,,
157,39146,94,105,8,1,4,1,0.862385321,0.284962365,Mike Remmers,KC,T,77,310,0,0,0,0,0,0,0,0,8,1,4,1,109,7.931327515,-0.032571429,5.365569848,4.780481801,8.29798156,9.19797956,,
158,53516,131,204,16,3,4,1,0.574561404,0.088942085,Kendrick Green,PIT,C,75,310,0,0,0,0,0,0,0,0,16,3,4,1,228,14.06386053,-0.032647059,5.122491217,4.244894452,8.67598072,6.9299846,,
161,52589,57,78,1,3,7,2,0.662790698,0.278329396,Netane Muti,DEN,G,75,307,10.63,31.75,0,44,0,0,0,0,1,3,7,2,86,7.334809901,-0.032948718,5.192173384,3.760298198,8.65798076,7.30798376,,
162,53475,118.5,161,10,4,7,0,0.684971098,0.278329396,Jackson Carman,CIN,G,77,345,0,0,0,0,0,0,0,0,10,4,7,0,173,51.07467348,-0.033012422,5.118842922,3.153322802,9.52197884,8.44198124,,
166,53452,71,83,7,1,1,1,0.788888889,0.278329396,Christian Darrisaw,MIN,T,77,314,0,0,0,0,0,0,0,0,7,1,1,1,90,13.7813577,-0.034096386,5.692345572,4.866332393,9.16197964,14.38196804,,
174,41222,212,245,16,6,23,5,0.841269841,0.088942085,Alejandro Villanueva,BAL,T,81,320,0,0,0,0,0,0,0,0,16,6,23,5,252,35.28237738,-0.042714286,5.381403582,4.481514968,9.449979,10.22397728,,
176,45630,210,241,17,7,22,2,0.850202429,0.278167749,Storm Norton,LAC,T,79,317,0,0,0,0,0,0,0,0,17,7,22,2,247,33.84039249,-0.04346473,5.122998553,4.423077754,9.70197844,13.4099702,,
177,43640,134.5,158,11,5,12,2,0.820121951,0.283821189,Rashod Hill,MIN,T,78,313,0,0,0,0,0,0,0,0,11,5,12,2,164,33.61283295,-0.043639241,5.037946153,4.588917186,9.77397828,19.54795656,,
178,44943,102,114,7,3,11,3,0.86440678,0.257315638,Julien Davenport,IND,T,79,325,0,0,0,0,0,0,0,0,7,3,11,3,118,3.551667251,-0.043684211,4.921288107,4.426839161,8.83798036,8.0099822,,
179,52418,125,144,12,3,16,0,0.838926174,0.278167749,Jedrick Wills,CLE,T,77,320,10,34.25,5.05,0,34.5,113,4.84,0,12,3,16,0,149,0.147779151,-0.044305556,6.581531784,4.739362932,8.3699814,10.96197564,,
180,42924,226,278,21,8,26,3,0.773972603,0.278167749,Jesse Davis,MIA,T,78,325,0,0,0,0,0,0,0,0,21,8,26,3,292,16.31867194,-0.045593525,4.898448623,4.516212534,11.01597552,10.47597672,,
187,53499,65,76,9,2,8,2,0.802469136,0.088942085,Brady Christensen,CAR,T,78,297,0,0,0,0,0,0,0,0,9,2,8,2,81,-41.27622674,-0.061907895,4.826526102,4.238121895,8.83798036,9.14397968,,
